0,925,923,870,917,917,928,951,902,894,935,942,849,894,934,934,927,912,855,880,903,918,902,913,878,887,902,945,928,886,922,908,882,959,911,911,916,956,886,942,910,871,890,934,904,888,894,897,961,874,884,908,889,915,952,852,917,860,921,942,807,929,942,906,859,878,897,891,888,888,877,900,949,949,894,917,918,893,886,868,905,925,915,886,870,926,911,930,909,884,922,932,917,863,948,937,928,878,963,913,893,
0.5,909,879,862,854,865,886,907,879,857,875,844,820,842,904,893,910,858,830,834,890,882,835,885,832,871,863,928,888,885,849,870,879,878,890,840,859,882,855,834,858,857,881,871,854,854,881,866,904,873,894,864,831,888,917,832,864,869,850,879,812,843,899,869,846,869,879,855,860,877,836,824,898,888,890,876,863,887,811,807,850,871,874,845,851,858,909,892,862,857,904,919,902,857,878,918,862,817,902,864,862,
1,792,828,790,788,794,809,815,808,765,755,805,760,812,822,802,819,822,760,810,799,812,767,811,774,813,801,797,781,831,778,777,807,812,792,785,817,783,814,799,775,804,827,768,807,803,794,809,797,783,807,785,769,826,829,764,821,784,818,789,766,804,856,809,765,806,790,807,816,812,758,815,828,804,786,784,827,745,791,802,790,809,833,775,836,779,804,762,794,816,820,795,839,789,790,812,782,763,801,766,812,
1.5,718,746,760,761,757,752,753,787,767,748,750,729,773,770,757,774,764,732,756,764,779,770,766,746,792,737,794,753,739,740,747,734,752,747,753,750,752,747,747,741,742,739,755,761,726,748,790,766,747,753,750,733,749,757,748,775,723,736,766,741,770,805,773,740,759,746,758,766,775,709,723,782,762,751,771,778,753,731,740,752,729,785,723,759,730,721,741,729,750,768,748,778,746,753,752,707,709,780,732,755,
2,694,730,738,703,727,743,728,729,725,735,726,733,711,718,722,742,730,720,721,724,723,712,725,723,757,711,754,699,725,714,708,753,733,716,737,722,733,740,719,703,715,732,730,736,748,715,748,719,730,751,708,718,751,721,731,744,716,726,750,705,728,728,743,724,731,715,723,722,754,703,714,721,727,737,744,726,721,725,734,729,719,745,707,741,716,729,721,712,744,733,702,737,712,732,735,699,713,730,711,721,
2.5,705,709,717,720,736,718,715,747,718,750,741,735,701,726,716,714,734,728,747,729,728,724,729,735,746,724,731,723,722,719,724,723,721,743,731,694,719,723,715,723,688,730,725,731,733,713,728,718,703,743,706,721,750,716,738,740,711,728,748,710,724,733,738,721,728,723,717,715,736,704,743,750,715,708,738,730,688,718,730,728,727,745,716,711,732,715,707,763,722,732,726,733,750,752,742,718,719,745,723,734,
3,726,706,725,726,738,714,743,742,719,724,725,727,731,737,712,742,729,696,744,716,709,724,722,725,716,711,706,730,743,714,711,692,703,721,727,722,759,729,716,722,697,709,751,723,700,724,728,740,713,717,690,724,717,732,743,755,725,721,727,703,746,703,745,716,727,699,721,703,766,702,698,761,752,733,718,718,734,715,726,740,723,735,735,725,708,699,712,723,740,741,704,728,741,728,758,705,732,746,724,729,
3.5,716,718,721,724,745,716,745,718,751,724,722,728,717,745,726,734,732,729,736,732,741,727,713,723,754,720,745,717,715,726,736,717,697,725,753,709,729,736,741,730,709,721,746,768,685,728,738,756,728,734,723,684,752,720,730,734,706,716,734,703,731,695,747,727,709,720,720,718,742,694,723,720,748,714,765,725,695,710,758,718,730,750,716,734,731,685,740,722,722,741,723,743,747,731,739,706,712,739,727,759,
4,711,730,737,742,732,745,740,744,714,735,730,747,697,758,733,735,709,729,717,736,740,728,738,759,705,739,731,718,703,723,716,710,721,718,737,743,725,724,699,698,714,757,748,746,694,739,718,721,694,732,711,707,715,738,742,741,697,725,730,721,725,725,739,734,721,715,714,735,752,694,733,729,757,718,747,737,711,715,731,736,731,738,732,730,742,698,715,722,717,751,730,735,723,727,733,705,725,691,736,728,
4.5,696,723,728,736,740,710,719,722,709,750,745,729,744,750,721,719,745,734,741,726,741,743,758,752,736,728,710,726,738,697,706,731,736,712,739,716,751,719,748,739,700,749,732,722,740,730,747,729,733,729,718,714,753,735,723,740,697,739,748,708,732,715,747,708,761,718,705,693,750,711,746,725,740,721,742,736,720,720,715,747,734,755,720,737,720,732,740,705,727,728,718,725,745,749,733,724,735,744,708,743,
